Sıra No,Arapça,Ravi,Meal,Kaynak
1,"        RİYÂZUS-SÂL İHÎN    Yazan  İmam Nevevî            Hamd âlemlerin Rabbi olan Allâh’a mahsustur. Yalnız O’ndan yardım diler, ve  O’ndan mağfiret taleb ederiz. Nefislerimizin şerrinden ve kötü amellerden de O’na  sığınırız. Allâh’ın hidayete erdirdi ğini hiç kimse sapt ıramaz, O’nun saptırdığı kişiyi  de hiç kimse hidayete erdiremez. Şehadet ederim ki, Allah’tan ba şka ibâdete lây ık  hiçbir ilâh yoktur. O birdir, ortağı da yoktur; Muhammed (sallallahu aleyhi vesellem)  de O’nun kulu ve elçisidir.  W         «Ey iman edenler! Allâh’tan hakk ıyla korkun ve ancak müslümanlar olarak  ölünüz»   W                                א «Ey insanlar ! Sizi bir tek nefisten yaratan ve ondan da e şini yaratan ve  ikisinden birçok erkekler ve kad ınlar üretip yayan Rabbinizden sak ının. Ad ını  kullanarak birbirinizden dilekte bulundu ğunuz Allah’tan ve akrabal ık haklar ına  riayetsizlikten de sakının. Hiç şüphesiz ki, Allah sizin üzerinizde gözetleyicidir»   W                                   «Ey iman edenler! Allah’tan korkun ve do ğru söz söyleyin. (Böyle  davranırsanız) Allah i şlerinizi düzeltir ve günahlar ınızı ba ğışlar. Kim Allah ve  Rasulü’ne itaat ederse büyük bir kurtuluşa ermiş olur»        {    K Belirtmek gerekir ki, sözlerin en do ğrusu Allâh’ ın kitâb ıdır. Yollar ın en  hayırlısı da Muhammed (sallallahu aleyhi vesellem)’in yoludur. (Dinde) en şerli işler  sonradan ortaya ç ıkarılan yeniliklerdir, sonradan ortaya ç ıkan her yenilik bid’at’tir,  her bid’at dalâlettir ve her dalâlet de ateştedir.   (Müslim,Nesei)             BİRİNCİ  KİTAP  BÖLÜM: 1  İYİ NİYET VE SAMİMİYET    W             אK   “Oysa kendilerine yalnızca Allah’a ibadet etmeleri, bütün içtenlikleriyle yalnız  O’na iman ederek bat ıl olan her şeyden uzak durmalar ı, namazlar ında dikkatli ve  devamlı olmaları ve zekat vermeleri (mallar ının bencillik kirinden ar ındırılması için  karşılıksız harcamada bulunmaları emrolunmuştu. İşte dosdoğru din de budur.” (98  Beyyine 5)   W                                          אK  “Fakat unutmayın ki, onların ne etleri Allah’a ulaşır, ne de kanları. Fakat O’na  ulaşan, yaln ızca sizin iyi niyet ve  samimiyetinizdir. İşte bu amaçla onlar ı sizin  yararınıza sunuyoruz ki, O’nun sizi do ğru yola iletmesine kar şılık, O’nun şanını  yüceltip tekbir getiresiniz için. (Ey Muhammed!) Öyleyse güzel davrananlar ı  müjdele” (22 Hacc 37)  W                De ki: “Kalplerinizdekini gizleseniz de, aç ığa vursanız da Allah onu bilir. Zira  O göklerde ve yerde olan her şeyi bilir. Allah’ın gücü her şeye yeter.” (3 Âli İmrân  29)    ،א                              K",,"Mü’minlerin devlet reisi Öm er ibn Hattab (Allah Ondan raz ı olsun)  Rasûlullah (sallallahu aleyhi vesellem)’i şöyle buyururken i şittim dedi: “Yapılan her  türlü i şler ki şilerin niyetlerine göre de ğer bulur. Herkes yapt ığı i şin kar şılığını  niyetine göre bulur. Kimin ni yeti Allah ve Rasûlü’nün rızasını kazanmak için İslâm’ı  yaşayamadığı yerden ya şayabileceği yere göç etmekse onun hicreti Allah ve Rasûlü  nün rızasını kazanmak için oldu ğun dan de ğerlendirmesi ona göre yap ılıp sevabını  ona göre alacakt ır. Kim de elde edece ği bir dünyal ık veya evlenece ği bir kad ına  ulaşmak için hicret etmişse hicretinin karşılığı hicret ettiği şeye göre değerlendirilir.”  (Buhârî, Bedü’l Vahy 1; Müslim,İmârât 155)","Buhârî, Bedü’l Vahy 1; Müslim,İmârât 155"
2,              K   W           :                           K,,"Mü’minlerin annesi Ümmü Abdullah diye künyelenen Ai şe (Allah Ondan  razı olsun) dan rivayete göre Rasûlu llah (sallallahu aleyhi vesellem) şöyle  buyurmuşlardır: “K ıyamete do ğru bir ordu Kabe’ye sald ırmak üzere yola ç ıkacak,  çıplak çöl gibi bir yere geldiklerinde hepsi birden yerin dibine batırılacaklardır.” Aişe  (Allah Ondan raz ı olsun); Ya Rasûlallah onlar ın aras ında kütü niyetli olmayanlar  veya tıcaret yapmak için gelenler  varken hepsi birden nas ıl yerin dibine batar? diye  sordum. Rasûlullah (sallallahu aleyhi vese llem): “Evet hepsi birden yerin dibine  geçecektir. Ahirette de diriltilip niyetlerin e göre hesaba çekileceklerdir.” (Buhârî,  Büyu’ 49; Müslim, Fiten 4-8)","Buhârî,  Büyu’ 49; Müslim, Fiten 4-8"
3,        W{      K,Ai şe (Allah Ondan raz ı olsun),"Ai şe (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre peygamberimiz  (sallallahu aleyhi vesellem) şöyle buyurdu: “Mekke fethinden sonra art ık hicret  etmek yoktur. Yaln ız cihad etmek ve cihad niyetinde olmak vard ır. O halde Allah  yolunda sava şa ça ğrıldığınızda hemen kat ılın.” (Buhârî, Menâkibü’l Ensâr 45;  Müslim, Hacc 445)","Buhârî, Menâkibü’l Ensâr 45;  Müslim, Hacc 445"
4,        W    K     W                          K,,"Ebû Abdullah Cabir İbn Abdullah el Ensarî (Allah Onlardan raz ı olsun)şöyle  demiştir: Peygamberimiz (sallallahu aley hi vesellem)’le birlikte bir sava şta  beraberdik buyurdular ki: “Hasta olmalar ı yüzünden Medine’de kal ıp sava şa  katılamayan öyle kimseler var ki; siz bir yolda yürüdü ğünüz ve bir vadiyi  geçtiğinizde onlar niyetlerinden dolayı sizinle beraber gibidirler.” Başka bir rivayette  ise: “Sevap kazanmakta onlar size ortak oldular.” şeklindedir. (Müslim, İmâra 159)   Yine Enes (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre şöyle  buyurmuştur: Peygamber (sallallahu al eyhi vesellem) ile Tebük sava şından  döndüğümüzde şöyle buyurdular: “Medine’de bizim arkamızda kalan öyle kimseler  var ki; her hangi bir da ğ yolunu veya bir vadiyi geçs ek onlar da bizimle beraber  sevap kazanırlar, onları özürleri alıkoymuştur.” (Buhârî, Meğâzî 81)","Buhârî, Meğâzî 81"
5,،،       W           K,Ebû Yezîd Ma’n ibn Yezîd İbn Ahnes (Allah Ondan raz ı olsun),"Ebû Yezîd Ma’n ibn Yezîd İbn Ahnes (Allah Ondan raz ı olsun)’den rivayete  göre –ki bu kimse babas ı ve dedesi hepsi sahabîdirler– şöyle demiştir: Babam Yezîd  sadaka vermek üzere birkaç dînar ç ıkarmış ve mescidde oturan birinin yan ına  koymuştu. Ben de gelip onlar ı alarak babama gelmi ştim. Babam: Yemin olsun ki o  paraları sen alas ın diye b ırakmadım deyince Rasûlullah (sallallahu aleyhi  vesellem)’in yanına giderek durumu O’na arzettim.  Bunun üzerine O meseleyi  hallederek şöyle buyurdular: “Yezîd sen niyetlendi ğin sadaka sevabını kazandın. Ey  Ma’n aldığın para da senindir.” (Buhârî, Zekat 15.)","Buhârî, Zekat 15."
6,                   W     J    –                                                                    K            K,,"Cennetle müjdelenen on sahabiden biri olan Ebû İshâk Sa’d ibn Ebû Vakkâs  (Allah Ondan razı olsun) şöyle dedi: Veda haccı yılında çektiğim şiddetli bir hastalık  dolayısıyle Rasûlullah (sallallahu aleyhi vese llem) ziyaretime geldi. Ben: Ya  Rasûlallah hastalığımın ne kadar artt ığını görüyorsun. Ben zengin bir kimseyim, bir  kızımdan ba şka mirasç ım da yok. Mal ımın üçte ikisini da ğıtayım m ı? dedim.  Rasûlullah (sallallahu aleyhi vesellem): “Hayır, öyle yapma” dedi. Yarısını dağıtayım  mı? dedim. Yine “Hay ır” dedi. Ya üçte birine ne dersin? deyince. “Üçte birini  dağıtabilirsin, hatta o bile çok  dedi. Mirasç ılarını zengin b ırakman onlar ı muhtaç  bırakıp ta insanlara el avuç açacak bir halde b ırakmaktan hay ırlıdır. Allah r ızasını  düşünerek yapt ığın harcamalara; hatta e şinin a ğzına koydu ğun lokmaya kadar  yaptığın tüm harcamalardan mutlaka sevap kazan ırsın” buyurdular. Bunun üzerine  ben: Ya Rasûlallah siz ve arkada şlarım Mekke’den Medine’ye hicret ederlerken ben  burada kal ıp ölecek miyim? diye sordum, cevaben : “Hay ır sen burada  kalmayacaksın. Allah r ızası için güzel i şler yaparak dereceni yükselteceksin.  Allah’tan öyle umarım ki daha çok ya şayacak, mü’minlere fayda, kafirlere de zarar  vereceksin. Ya Rabbî ashab ımın hicretini tamamla ve onlar ı gerisin geriye çevirme.  Acınacak durumda olan Sa’d ibn Havle’dir” buyurdu. Rasûlullah (sallallahu aleyhi  vesellem) Sa’d ibn Havle’nin Mekke’de öl mesine üzülüyordu. (Buhârî, Cenâiz 36;  Müslim Vesâyâ )","Buhârî, Cenâiz 36;  Müslim Vesâyâ"
7,                     K,Ebû Hureyre (Allah Ondan raz ı olsun),"Ebû Hureyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Allah sizin bedenlerinize ve  yüzlerinize değil kalplerinize bakar. (Müslim, Birr 33; İbn i Mâce, Zühd 9.)","Müslim, Birr 33; İbn i Mâce, Zühd 9."
8,     K,,"Ebû Mûsâ Abdullah ibn Kays el E şarî (Allah Ondan raz ı olsun) şöyle dedi:  Rasûlullah (sallallahu aleyhi veselle m)’e biri cesaretini göstermek di ğeri milletini  korumak öteki ise kendisine yi ğit adam dedirtmek için sava şan kimselerden hangisi  Allah yolundadır? diye soruldu da Rasûlullah (sallallahu aleyhi vesellem) şu cevabı  verdi. “Kim İslâmiyet (tevhid kelimesi) daha yüce olsun diye sava şıyorsa, o Allah  yolundadır. (Yani şehid ona denir).” (Buhârî, İlim 45; Müslim, İmâra 150.)","Buhârî, İlim 45; Müslim, İmâra 150."
9,     W          K,Ebû Bekre Nüfey’ ibn Hâris es Sakafî (Allah Ondan raz ı olsun),"Ebû Bekre Nüfey’ ibn Hâris es Sakafî (Allah Ondan raz ı olsun)’den rivayet  edildiğine göre peygamberimiz (sallallahu aleyhi vesellem) şöyle buyurdu: “ İki  müslüman birbirine k ılıç çekti ğinde öldüren de ölen de cehennemdedir.” Bunun  üzerine ben: Ey Allah’ ın Rasûl’ü öldürenin duru mu belli ama ölen niçin  cehennemdedir? diye sordum. Peygamber (s allallahu aleyhi vesellem) efendimiz  buyurdular ki: “Çünkü o da arkada şını öldürmek istiyordu.” (Buhârî, İman 22;  Müslim, Kasâme 33.)","Buhârî, İman 22;  Müslim, Kasâme 33."
10,J                                                            K,Ebû Hüreyre (Allah Ondan raz ı olsun),"Ebû Hüreyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Ki şinin, cemaatle k ıldığı  namaz çar şıda, i şyerinde ve evinde k ıldığı namazdan yirmi bu kadar derece  üstündür. Şöyle ki; bir kimse güzelce abdest al ır, sadece namaz k ılmak niyetiyle  camiye gelirse, camiye girinceye kadar att ığı her adımla o kimsenin derecesi yükselir  ve bir günah ı ba ğışlanır. Camiye girince de namaz için kald ığı sürece namaz  kılıyormuş gibi sevap kazan ır. Namaz kıldığı yerde kaldıkça kimseye (sözlü ve fiilli)  eziyet etmedi ği ve abdestini bozmad ığı ve dünyevî sözler konu şmadığı sürece  melekler ona şöyle dua ederler: Allah’ ım sen ona rahmet et ac ı Allah’ım sen onu  bağışla affet Allah’ım sen onu tevbesini kabul et.” (Buhârî, Salât 87; Müslim, Taharât,  12.)","Buhârî, Salât 87; Müslim, Taharât,  12."
